YouTube Search interest: john mayer
United States; Jan 2008 - Jul 2015

Interest over time
Week,john mayer
2008-01-06 - 2008-01-12,32
2008-01-13 - 2008-01-19,32
2008-01-20 - 2008-01-26,32
2008-01-27 - 2008-02-02,30
2008-02-03 - 2008-02-09,32
2008-02-10 - 2008-02-16,44
2008-02-17 - 2008-02-23,30
2008-02-24 - 2008-03-01,31
2008-03-02 - 2008-03-08,31
2008-03-09 - 2008-03-15,29
2008-03-16 - 2008-03-22,28
2008-03-23 - 2008-03-29,29
2008-03-30 - 2008-04-05,31
2008-04-06 - 2008-04-12,33
2008-04-13 - 2008-04-19,34
2008-04-20 - 2008-04-26,32
2008-04-27 - 2008-05-03,31
2008-05-04 - 2008-05-10,39
2008-05-11 - 2008-05-17,38
2008-05-18 - 2008-05-24,35
2008-05-25 - 2008-05-31,35
2008-06-01 - 2008-06-07,31
2008-06-08 - 2008-06-14,35
2008-06-15 - 2008-06-21,30
2008-06-22 - 2008-06-28,33
2008-06-29 - 2008-07-05,37
2008-07-06 - 2008-07-12,48
2008-07-13 - 2008-07-19,43
2008-07-20 - 2008-07-26,39
2008-07-27 - 2008-08-02,43
2008-08-03 - 2008-08-09,43
2008-08-10 - 2008-08-16,39
2008-08-17 - 2008-08-23,43
2008-08-24 - 2008-08-30,42
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,40
2008-09-14 - 2008-09-20,39
2008-09-21 - 2008-09-27,40
2008-09-28 - 2008-10-04,41
2008-10-05 - 2008-10-11,36
2008-10-12 - 2008-10-18,35
2008-10-19 - 2008-10-25,35
2008-10-26 - 2008-11-01,32
2008-11-02 - 2008-11-08,34
2008-11-09 - 2008-11-15,35
2008-11-16 - 2008-11-22,33
2008-11-23 - 2008-11-29,32
2008-11-30 - 2008-12-06,38
2008-12-07 - 2008-12-13,38
2008-12-14 - 2008-12-20,31
2008-12-21 - 2008-12-27,31
2008-12-28 - 2009-01-03,27
2009-01-04 - 2009-01-10,31
2009-01-11 - 2009-01-17,29
2009-01-18 - 2009-01-24,33
2009-01-25 - 2009-01-31,32
2009-02-01 - 2009-02-07,33
2009-02-08 - 2009-02-14,47
2009-02-15 - 2009-02-21,37
2009-02-22 - 2009-02-28,36
2009-03-01 - 2009-03-07,38
2009-03-08 - 2009-03-14,36
