YouTube Search interest: jill scott
United States; Jan 2008 - Jul 2015

Interest over time
Week,jill scott
2010-01-10 - 2010-01-16,25
2010-01-17 - 2010-01-23,22
2010-01-24 - 2010-01-30,25
2010-01-31 - 2010-02-06,29
2010-02-07 - 2010-02-13,26
2010-02-14 - 2010-02-20,25
2010-02-21 - 2010-02-27,31
2010-02-28 - 2010-03-06,26
2010-03-07 - 2010-03-13,32
2010-03-14 - 2010-03-20,31
2010-03-21 - 2010-03-27,41
2010-03-28 - 2010-04-03,44
2010-04-04 - 2010-04-10,39
2010-04-11 - 2010-04-17,40
2010-04-18 - 2010-04-24,31
2010-04-25 - 2010-05-01,32
2010-05-02 - 2010-05-08,34
2010-05-09 - 2010-05-15,32
2010-05-16 - 2010-05-22,28
2010-05-23 - 2010-05-29,34
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,34
2010-06-13 - 2010-06-19,33
2010-06-20 - 2010-06-26,29
2010-06-27 - 2010-07-03,27
2010-07-04 - 2010-07-10,27
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,28
2010-07-25 - 2010-07-31,28
2010-08-01 - 2010-08-07,27
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,33
2010-08-22 - 2010-08-28,31
2010-08-29 - 2010-09-04,33
2010-09-05 - 2010-09-11,30
2010-09-12 - 2010-09-18,27
2010-09-19 - 2010-09-25,31
2010-09-26 - 2010-10-02,31
2010-10-03 - 2010-10-09,31
2010-10-10 - 2010-10-16,30
2010-10-17 - 2010-10-23,29
2010-10-24 - 2010-10-30,26
2010-10-31 - 2010-11-06,29
2010-11-07 - 2010-11-13,43
2010-11-14 - 2010-11-20,36
2010-11-21 - 2010-11-27,29
2010-11-28 - 2010-12-04,27
2010-12-05 - 2010-12-11,28
2010-12-12 - 2010-12-18,30
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,31
2011-01-09 - 2011-01-15,39
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,34
2011-02-06 - 2011-02-12,34
2011-02-13 - 2011-02-19,36
2011-02-20 - 2011-02-26,31
2011-02-27 - 2011-03-05,33
2011-03-06 - 2011-03-12,32
2011-03-13 - 2011-03-19,31
2011-03-20 - 2011-03-26,29
2011-03-27 - 2011-04-02,32
2011-04-03 - 2011-04-09,38
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,46
2011-04-24 - 2011-04-30,59
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,51
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,56
2011-06-05 - 2011-06-11,56
2011-06-12 - 2011-06-18,63
2011-06-19 - 2011-06-25,97
2011-06-26 - 2011-07-02,100
2011-07-03 - 2011-07-09,73
2011-07-10 - 2011-07-16,76
2011-07-17 - 2011-07-23,65
2011-07-24 - 2011-07-30,57
2011-07-31 - 2011-08-06,62
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,61
2011-08-21 - 2011-08-27,71
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,52
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,55
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,53
2011-10-09 - 2011-10-15,54
2011-10-16 - 2011-10-22,48
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,59
2011-11-06 - 2011-11-12,55
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,61
2011-12-11 - 2011-12-17,57
2011-12-18 - 2011-12-24,59
2011-12-25 - 2011-12-31,52
2012-01-01 - 2012-01-07,52
2012-01-08 - 2012-01-14,49
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,46
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,38
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,40
2012-03-04 - 2012-03-10,39
2012-03-11 - 2012-03-17,39
2012-03-18 - 2012-03-24,46
2012-03-25 - 2012-03-31,42
2012-04-01 - 2012-04-07,41
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,38
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,44
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,40
2012-06-17 - 2012-06-23,36
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,36
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,30
2012-07-29 - 2012-08-04,35
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,31
2012-08-19 - 2012-08-25,32
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,32
2012-09-16 - 2012-09-22,38
2012-09-23 - 2012-09-29,32
2012-09-30 - 2012-10-06,31
2012-10-07 - 2012-10-13,31
2012-10-14 - 2012-10-20,28
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,27
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,27
2012-12-02 - 2012-12-08,25
2012-12-09 - 2012-12-15,23
2012-12-16 - 2012-12-22,22
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,24
2013-01-06 - 2013-01-12,28
2013-01-13 - 2013-01-19,28
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,27
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,27
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,27
2013-03-31 - 2013-04-06,28
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,24
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,27
2013-05-05 - 2013-05-11,21
2013-05-12 - 2013-05-18,22
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,27
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,26
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,23
2013-06-30 - 2013-07-06,28
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,21
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,19
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,32
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,25
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,25
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,27
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,20
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,19
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,23
2014-02-02 - 2014-02-08,24
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,25
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,27
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,26
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,28
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,28
2014-06-08 - 2014-06-14,19
2014-06-15 - 2014-06-21,27
2014-06-22 - 2014-06-28,25
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,24
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,19
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,21
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,20
2014-11-23 - 2014-11-29,17
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,19
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,19
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,23
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,23
2015-03-15 - 2015-03-21,24
2015-03-22 - 2015-03-28,20
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,26
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,18
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,21
2015-06-21 - 2015-06-27,22
2015-06-28 - 2015-07-04,27
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,32
2015-07-19 - 2015-07-25,40
2015-07-26 - 2015-08-01,49


Top sub-regions for jill scott
Sub-region,jill scott
District of Columbia,100
Georgia,88
Maryland,86
Louisiana,72
Alabama,71
Mississippi,70
Delaware,69
North Carolina,60
South Carolina,60
Michigan,49
Tennessee,48
Illinois,46
Pennsylvania,38
Florida,38
Missouri,37
Arkansas,37
New York,37
Ohio,35
Texas,35
Virginia,34
New Jersey,34
Indiana,32
Oklahoma,24
Connecticut,23
Kentucky,22
California,22
Nevada,22
Wisconsin,21
Massachusetts,21
Kansas,19
Arizona,18
Washington,16
Colorado,15
Rhode Island,15
Minnesota,15
Hawaii,14
Nebraska,13
Iowa,11
Oregon,9
Alaska,0
Idaho,0
Maine,0
Montana,0
North Dakota,0
New Hampshire,0
New Mexico,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for jill scott
Metro,jill scott
Atlanta GA,100
Baltimore MD,98
Norfolk-Portsmouth-Newport News VA,97
Detroit MI,87
Charlotte NC,72
Raleigh-Durham (Fayetteville) NC,71
Chicago IL,62
Philadelphia PA,61
Washington DC (Hagerstown MD),57
St. Louis MO,52
Houston TX,50
New York NY,45
Dallas-Ft. Worth TX,44
Miami-Ft. Lauderdale FL,42
Los Angeles CA,33
Boston MA-Manchester NH,22
San Francisco-Oakland-San Jose CA,18
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for jill scott
Town/City,jill scott
Detroit,100
Baltimore,97
Memphis,93
Birmingham,83
Washington,74
Greensboro,72
New Orleans,71
Atlanta,70
Richmond,62
Philadelphia,62
Jackson,61
Tallahassee,61
Norfolk,60
Baton Rouge,56
Charlotte,56



Top searches for jill scott
jill scott love,100
jill scott lyrics,40
anthony hamilton,35
jill scott golden,35
jill scott live,35
so in love,25
erykah badu,25
hate on me,20
jill scott blessed,15
jill scott instrumental,15
india arie,15
jill scott album,10
jill scott 2011,10
ledisi,10
floetry,10
jill scott shame,10
marsha ambrosius,5
chrisette michele,5
jill scott playlist,5
jill scott crazy,5
whatever jill scott,5
angie stone,5
jill scott poetry,5
jill scott hater,5
raheem devaughn,5



Rising searches for jill scott
anthony hamilton,Breakout
jill scott blessed,Breakout
jill scott instrumental,Breakout
jill scott lyrics,Breakout
so in love,Breakout
jill scott golden,+450%
jill scott live,+150%
jill scott love,+150%
erykah badu,+140%
india arie,+60%



