YouTube Search interest: kellie pickler
United States; Jan 2008 - Jul 2015

Interest over time
Week,kellie pickler
2009-02-15 - 2009-02-21,19
2009-02-22 - 2009-02-28,22
2009-03-01 - 2009-03-07,24
2009-03-08 - 2009-03-14,22
2009-03-15 - 2009-03-21,20
2009-03-22 - 2009-03-28,32
2009-03-29 - 2009-04-04,35
2009-04-05 - 2009-04-11,76
2009-04-12 - 2009-04-18,68
2009-04-19 - 2009-04-25,69
2009-04-26 - 2009-05-02,72
2009-05-03 - 2009-05-09,70
2009-05-10 - 2009-05-16,68
2009-05-17 - 2009-05-23,73
2009-05-24 - 2009-05-30,72
2009-05-31 - 2009-06-06,78
2009-06-07 - 2009-06-13,84
2009-06-14 - 2009-06-20,83
2009-06-21 - 2009-06-27,81
2009-06-28 - 2009-07-04,84
2009-07-05 - 2009-07-11,72
2009-07-12 - 2009-07-18,76
2009-07-19 - 2009-07-25,77
2009-07-26 - 2009-08-01,72
2009-08-02 - 2009-08-08,75
2009-08-09 - 2009-08-15,64
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,61
2009-08-30 - 2009-09-05,57
2009-09-06 - 2009-09-12,46
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,53
2009-10-04 - 2009-10-10,51
2009-10-11 - 2009-10-17,54
2009-10-18 - 2009-10-24,49
2009-10-25 - 2009-10-31,53
2009-11-01 - 2009-11-07,56
2009-11-08 - 2009-11-14,55
2009-11-15 - 2009-11-21,49
2009-11-22 - 2009-11-28,46
2009-11-29 - 2009-12-05,41
2009-12-06 - 2009-12-12,41
2009-12-13 - 2009-12-19,42
2009-12-20 - 2009-12-26,36
2009-12-27 - 2010-01-02,39
2010-01-03 - 2010-01-09,35
2010-01-10 - 2010-01-16,34
2010-01-17 - 2010-01-23,36
2010-01-24 - 2010-01-30,34
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,35
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,32
2010-02-28 - 2010-03-06,33
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,27
2010-03-21 - 2010-03-27,33
2010-03-28 - 2010-04-03,29
2010-04-04 - 2010-04-10,28
2010-04-11 - 2010-04-17,28
2010-04-18 - 2010-04-24,30
2010-04-25 - 2010-05-01,27
2010-05-02 - 2010-05-08,27
2010-05-09 - 2010-05-15,28
2010-05-16 - 2010-05-22,25
2010-05-23 - 2010-05-29,28
2010-05-30 - 2010-06-05,30
2010-06-06 - 2010-06-12,35
2010-06-13 - 2010-06-19,25
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,33
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,24
2010-07-25 - 2010-07-31,25
2010-08-01 - 2010-08-07,27
2010-08-08 - 2010-08-14,27
2010-08-15 - 2010-08-21,24
2010-08-22 - 2010-08-28,26
2010-08-29 - 2010-09-04,25
2010-09-05 - 2010-09-11,23
2010-09-12 - 2010-09-18,22
2010-09-19 - 2010-09-25,22
2010-09-26 - 2010-10-02,22
2010-10-03 - 2010-10-09,19
2010-10-10 - 2010-10-16,21
2010-10-17 - 2010-10-23,20
2010-10-24 - 2010-10-30,20
2010-10-31 - 2010-11-06,21
2010-11-07 - 2010-11-13,23
2010-11-14 - 2010-11-20,20
2010-11-21 - 2010-11-27,21
2010-11-28 - 2010-12-04,21
2010-12-05 - 2010-12-11,21
2010-12-12 - 2010-12-18,21
2010-12-19 - 2010-12-25,17
2010-12-26 - 2011-01-01,18
2011-01-02 - 2011-01-08,25
2011-01-09 - 2011-01-15,24
2011-01-16 - 2011-01-22,24
2011-01-23 - 2011-01-29,23
2011-01-30 - 2011-02-05,24
2011-02-06 - 2011-02-12,20
2011-02-13 - 2011-02-19,19
2011-02-20 - 2011-02-26,26
2011-02-27 - 2011-03-05,24
2011-03-06 - 2011-03-12,20
2011-03-13 - 2011-03-19,18
2011-03-20 - 2011-03-26,19
2011-03-27 - 2011-04-02,18
2011-04-03 - 2011-04-09,23
2011-04-10 - 2011-04-16,20
2011-04-17 - 2011-04-23,19
2011-04-24 - 2011-04-30,19
2011-05-01 - 2011-05-07,17
2011-05-08 - 2011-05-14,22
2011-05-15 - 2011-05-21,20
2011-05-22 - 2011-05-28,24
2011-05-29 - 2011-06-04,23
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,22
2011-06-19 - 2011-06-25,24
2011-06-26 - 2011-07-02,22
2011-07-03 - 2011-07-09,24
2011-07-10 - 2011-07-16,22
2011-07-17 - 2011-07-23,22
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,28
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,30
2011-09-04 - 2011-09-10,29
2011-09-11 - 2011-09-17,28
2011-09-18 - 2011-09-24,26
2011-09-25 - 2011-10-01,28
2011-10-02 - 2011-10-08,34
2011-10-09 - 2011-10-15,34
2011-10-16 - 2011-10-22,30
2011-10-23 - 2011-10-29,29
2011-10-30 - 2011-11-05,26
2011-11-06 - 2011-11-12,31
2011-11-13 - 2011-11-19,28
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,25
2011-12-04 - 2011-12-10,27
2011-12-11 - 2011-12-17,25
2011-12-18 - 2011-12-24,30
2011-12-25 - 2011-12-31,23
2012-01-01 - 2012-01-07,23
2012-01-08 - 2012-01-14,24
2012-01-15 - 2012-01-21,22
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,39
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,27
2012-02-19 - 2012-02-25,25
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,21
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,22
2012-04-08 - 2012-04-14,25
2012-04-15 - 2012-04-21,19
2012-04-22 - 2012-04-28,21
2012-04-29 - 2012-05-05,22
2012-05-06 - 2012-05-12,19
2012-05-13 - 2012-05-19,20
2012-05-20 - 2012-05-26,19
2012-05-27 - 2012-06-02,17
2012-06-03 - 2012-06-09,18
2012-06-10 - 2012-06-16,18
2012-06-17 - 2012-06-23,16
2012-06-24 - 2012-06-30,14
2012-07-01 - 2012-07-07,17
2012-07-08 - 2012-07-14,18
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,16
2012-08-05 - 2012-08-11,14
2012-08-12 - 2012-08-18,14
2012-08-19 - 2012-08-25,14
2012-08-26 - 2012-09-01,13
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,15
2012-09-16 - 2012-09-22,17
2012-09-23 - 2012-09-29,15
2012-09-30 - 2012-10-06,13
2012-10-07 - 2012-10-13,14
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,11
2012-10-28 - 2012-11-03,14
2012-11-04 - 2012-11-10,13
2012-11-11 - 2012-11-17,11
2012-11-18 - 2012-11-24,13
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,9
2012-12-09 - 2012-12-15,13
2012-12-16 - 2012-12-22,13
2012-12-23 - 2012-12-29,10
2012-12-30 - 2013-01-05,13
2013-01-06 - 2013-01-12,9
2013-01-13 - 2013-01-19,12
2013-01-20 - 2013-01-26,10
2013-01-27 - 2013-02-02,9
2013-02-03 - 2013-02-09,10
2013-02-10 - 2013-02-16,10
2013-02-17 - 2013-02-23,11
2013-02-24 - 2013-03-02,12
2013-03-03 - 2013-03-09,12
2013-03-10 - 2013-03-16,12
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,29
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,21
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,100
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,19
2013-06-16 - 2013-06-22,17
2013-06-23 - 2013-06-29,15
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,18
2013-07-21 - 2013-07-27,15
2013-07-28 - 2013-08-03,18
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,17
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,12
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,12
2013-11-03 - 2013-11-09,14
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,15
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,14
2013-12-08 - 2013-12-14,11
2013-12-15 - 2013-12-21,15
2013-12-22 - 2013-12-28,11
2013-12-29 - 2014-01-04,11
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,9
2014-01-19 - 2014-01-25,9
2014-01-26 - 2014-02-01,9
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,9
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,9
2014-03-02 - 2014-03-08,9
2014-03-09 - 2014-03-15,8
2014-03-16 - 2014-03-22,10
2014-03-23 - 2014-03-29,8
2014-03-30 - 2014-04-05,9
2014-04-06 - 2014-04-12,10
2014-04-13 - 2014-04-19,7
2014-04-20 - 2014-04-26,9
2014-04-27 - 2014-05-03,9
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,7
2014-05-18 - 2014-05-24,8
2014-05-25 - 2014-05-31,8
2014-06-01 - 2014-06-07,9
2014-06-08 - 2014-06-14,8
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,9
2014-06-29 - 2014-07-05,7
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,9
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,7
2014-08-03 - 2014-08-09,8
2014-08-10 - 2014-08-16,7
2014-08-17 - 2014-08-23,7
2014-08-24 - 2014-08-30,8
2014-08-31 - 2014-09-06,5
2014-09-07 - 2014-09-13,5
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,5
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,7
2014-10-12 - 2014-10-18,6
2014-10-19 - 2014-10-25,8
2014-10-26 - 2014-11-01,6
2014-11-02 - 2014-11-08,9
2014-11-09 - 2014-11-15,6
2014-11-16 - 2014-11-22,7
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,6
2014-12-07 - 2014-12-13,6
2014-12-14 - 2014-12-20,6
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,4
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,5
2015-01-18 - 2015-01-24,6
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,6
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,6
2015-02-22 - 2015-02-28,5
2015-03-01 - 2015-03-07,6
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,5
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,6
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,4
2015-04-26 - 2015-05-02,6
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,6
2015-05-17 - 2015-05-23,6
2015-05-24 - 2015-05-30,5
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,4


Top sub-regions for kellie pickler
Sub-region,kellie pickler
West Virginia,100
Kentucky,97
South Dakota,93
North Dakota,88
Wyoming,75
Iowa,73
Tennessee,71
North Carolina,70
Missouri,69
Nebraska,67
Alabama,67
Montana,67
Ohio,66
Arkansas,65
Maine,65
Wisconsin,62
South Carolina,62
Indiana,61
Idaho,59
Kansas,59
Oklahoma,57
Mississippi,56
Minnesota,56
Utah,55
Michigan,53
Louisiana,52
Georgia,51
New Hampshire,50
Pennsylvania,49
Vermont,48
Texas,47
New Mexico,43
Colorado,41
Illinois,39
Delaware,38
Virginia,35
Washington,35
Arizona,34
Florida,34
Connecticut,32
Oregon,32
Massachusetts,32
District of Columbia,32
Maryland,31
New Jersey,27
New York,27
Nevada,27
Rhode Island,26
California,21
Hawaii,13
Alaska,0


Top metros for kellie pickler
Metro,kellie pickler
Louisville KY,100
Charlotte NC,88
Nashville TN,75
St. Louis MO,73
Cincinnati OH,70
Salt Lake City UT,69
Kansas City MO,67
Columbus OH,67
Indianapolis IN,65
Pittsburgh PA,61
Raleigh-Durham (Fayetteville) NC,61
Cleveland-Akron (Canton) OH,59
Minneapolis-St. Paul MN,51
Dallas-Ft. Worth TX,49
Atlanta GA,46
Detroit MI,44
Boston MA-Manchester NH,42
Orlando-Daytona Beach-Melbourne FL,39
Houston TX,38
Chicago IL,37
Denver CO,37
Phoenix AZ,36
Tampa-St. Petersburg (Sarasota) FL,36
Philadelphia PA,35
Seattle-Tacoma WA,33
Washington DC (Hagerstown MD),32
Sacramento-Stockton-Modesto CA,32
New York NY,22
Los Angeles CA,20
San Francisco-Oakland-San Jose CA,15
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for kellie pickler
Town/City,kellie pickler
Louisville,100
St. Louis,97
Herndon,83
Charlotte,78
Ashburn,76
Columbus,75
Salt Lake City,73
Cincinnati,72
Atlanta,71
Richardson,69
Indianapolis,64
Oklahoma City,63
Reston,60
Minneapolis,59
San Antonio,56



Top searches for kellie pickler
best days,100
kellie pickler lyrics,55
red high heels,40
wonder kellie pickler,30
i wonder,30
kelly pickler,20
tough kellie pickler,15
tough,15
kellie pickler ellen,10
kellie pickler songs,10
kellie pickler beautiful,5
kellie pickler live,5
kellie pickler karaoke,5
kellie pickler audition,5
derek hough,5
one last time,5
kellie pickler interview,5
kelli pickler,5
dwts kellie pickler,5
kellie pickler freestyle,0



Rising searches for kellie pickler
best days,Breakout
kellie pickler ellen,Breakout
kellie pickler lyrics,Breakout
kellie pickler songs,Breakout
tough,Breakout
tough kellie pickler,Breakout
red high heels,+350%
wonder kellie pickler,+140%
i wonder,+70%



